,cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,fdust+30cm
0,20180101,100,도심권,111121,중구,32,18,0.015,0.028,0.5,0.005,47.0
1,20180101,104,동남권,111273,송파구,52,23,0.013,0.028,0.7,0.004,73.0
2,20180101,104,동남권,111262,서초구,49,24,0.011,0.031,0.6,0.005,67.0
3,20180101,104,동남권,111261,강남구,34,22,0.01,0.033,0.6,0.006,52.0
4,20180101,103,서남권,111301,양천구,37,21,0.008,0.037000000000000005,0.7,0.005,58.0
5,20180101,103,서남권,111281,금천구,39,21,0.01,0.036000000000000004,0.6,0.005,57.0
6,20180101,103,서남권,111251,관악구,38,23,0.008,0.036000000000000004,0.5,0.008,53.0
7,20180101,103,서남권,111241,동작구,40,19,0.012,0.035,0.5,0.005,55.0
8,20180101,103,서남권,111231,영등포구,47,24,0.01,0.03,0.7,0.006999999999999999,68.0
9,20180101,103,서남권,111221,구로구,47,28,0.008,0.025,0.6,0.006999999999999999,65.0
10,20180101,103,서남권,111212,강서구,0,13,0.012,0.036000000000000004,0.7,0.004,21.0
11,20180101,102,동북권,111311,노원구,42,21,0.012,0.034,0.8,0.006999999999999999,66.0
12,20180101,104,동남권,111274,강동구,48,24,0.01,0.038,0.7,0.005,69.0
13,20180101,102,동북권,111291,강북구,38,18,0.018000000000000002,0.026,0.6,0.004,56.0
14,20180101,102,동북권,111171,도봉구,44,22,0.016,0.029,0.6,0.006,62.0
15,20180101,102,동북권,111161,성북구,43,19,0.01,0.04,0.7,0.006999999999999999,64.0
16,20180101,102,동북권,111152,동대문구,46,20,0.013,0.031,0.6,0.006,64.0
17,20180101,102,동북권,111151,중랑구,48,22,0.01,0.036000000000000004,0.7,0.006999999999999999,69.0
18,20180101,102,동북권,111142,성동구,47,23,0.01,0.032,0.3,0.006,56.0
19,20180101,102,동북권,111141,광진구,41,21,0.012,0.037000000000000005,0.7,0.005,62.0
20,20180101,101,서북권,111201,마포구,39,21,0.012,0.033,0.6,0.006,57.0
21,20180101,101,서북권,111181,은평구,41,21,0.014,0.017,0.6,0.003,59.0
22,20180101,100,도심권,111131,용산구,38,18,0.012,0.029,0.3,0.005,47.0
23,20180101,100,도심권,111123,종로구,34,17,0.016,0.029,0.6,0.006999999999999999,52.0
24,20180102,104,동남권,111274,강동구,46,25,0.009000000000000001,0.041,0.8,0.005,70.0
25,20180102,104,동남권,111273,송파구,53,27,0.011,0.033,0.9,0.005,80.0
26,20180102,104,동남권,111262,서초구,50,26,0.01,0.032,0.7,0.006,71.0
27,20180102,104,동남권,111261,강남구,34,25,0.006999999999999999,0.039,0.7,0.006,55.0
28,20180102,103,서남권,111301,양천구,39,24,0.008,0.038,0.8,0.005,63.0
29,20180102,103,서남권,111281,금천구,39,24,0.01,0.039,0.7,0.005,60.0
30,20180102,103,서남권,111251,관악구,37,24,0.006999999999999999,0.042,0.6,0.006999999999999999,55.0
31,20180102,103,서남권,111241,동작구,43,24,0.011,0.045,0.8,0.004,67.0
32,20180102,103,서남권,111231,영등포구,48,25,0.009000000000000001,0.037000000000000005,0.8,0.006999999999999999,72.0
33,20180102,103,서남권,111221,구로구,46,29,0.006999999999999999,0.024,0.8,0.006999999999999999,70.0
34,20180102,103,서남권,111212,강서구,23,15,0.012,0.037000000000000005,0.7,0.004,44.0
35,20180102,102,동북권,111311,노원구,41,22,0.014,0.033,0.8,0.006,65.0
36,20180102,102,동북권,111291,강북구,32,16,0.02,0.028,0.6,0.004,50.0
37,20180102,102,동북권,111171,도봉구,42,22,0.016,0.033,0.8,0.004,66.0
38,20180102,102,동북권,111161,성북구,43,20,0.012,0.041,0.9,0.006,70.0
39,20180102,102,동북권,111152,동대문구,43,21,0.011,0.043,0.7,0.006,64.0
40,20180102,102,동북권,111151,중랑구,46,22,0.008,0.042,0.8,0.006,70.0
41,20180102,102,동북권,111142,성동구,42,23,0.009000000000000001,0.033,0.5,0.005,57.0
42,20180102,102,동북권,111141,광진구,44,25,0.01,0.043,0.8,0.006,68.0
43,20180102,101,서북권,111201,마포구,40,24,0.01,0.043,0.9,0.005,67.0
44,20180102,101,서북권,111181,은평구,40,21,0.013,0.021,0.8,0.004,64.0
45,20180102,100,도심권,111131,용산구,38,21,0.009000000000000001,0.038,0.5,0.005,53.0
46,20180102,100,도심권,111123,종로구,36,22,0.01,0.044,0.9,0.006999999999999999,63.0
47,20180102,100,도심권,111121,중구,33,20,0.012,0.037000000000000005,0.8,0.005,57.0
48,20180103,100,도심권,111123,종로구,31,19,0.016,0.025,0.6,0.006999999999999999,49.0
49,20180103,104,동남권,111274,강동구,39,20,0.015,0.028,0.5,0.005,54.0
50,20180103,104,동남권,111273,송파구,40,20,0.016,0.022,0.4,0.004,52.0
51,20180103,104,동남권,111262,서초구,40,20,0.016,0.019,0.4,0.005,52.0
52,20180103,104,동남권,111261,강남구,28,20,0.01,0.027000000000000003,0.5,0.006,43.0
53,20180103,103,서남권,111301,양천구,33,18,0.015,0.022,0.5,0.004,48.0
54,20180103,103,서남권,111281,금천구,33,19,0.016,0.026,0.5,0.005,48.0
55,20180103,103,서남권,111251,관악구,30,18,0.012,0.025,0.3,0.006999999999999999,39.0
56,20180103,103,서남권,111241,동작구,39,18,0.015,0.026,0.4,0.004,51.0
57,20180103,103,서남권,111231,영등포구,40,21,0.012,0.024,0.6,0.006999999999999999,58.0
58,20180103,103,서남권,111221,구로구,39,24,0.012,0.016,0.4,0.006,51.0
59,20180103,103,서남권,111212,강서구,33,15,0.019,0.02,0.4,0.004,45.0
60,20180103,102,동북권,111311,노원구,36,19,0.022,0.018000000000000002,0.5,0.006,51.0
61,20180103,102,동북권,111291,강북구,30,14,0.026,0.016,0.5,0.004,45.0
62,20180103,102,동북권,111171,도봉구,34,20,0.023,0.014,0.4,0.006,46.0
63,20180103,102,동북권,111161,성북구,37,17,0.017,0.024,0.5,0.006,52.0
64,20180103,102,동북권,111152,동대문구,37,19,0.017,0.024,0.5,0.006,52.0
